date,stage,code,name,rank,score
2026-07-26,0935final,002414,高德红外,1,3.0632
2026-07-26,0935final,688237,超卓航科,2,2.6607
2026-07-26,05pipeline,002156,通富微电,1,7.8463
2026-07-26,05pipeline,688146,中船特气,2,5.8772
2026-07-27,0935final,600206,有研新材,1,3.11
2026-07-27,0935final,300850,新强联,2,1.7047
2026-07-27,05pipeline,002558,巨人网络,1,9.6017
2026-07-27,05pipeline,001309,德明利,2,3.462
2026-07-30,0935final,603986,兆易创新,1,1.6689
2026-07-30,0935final,688766,普冉股份,2,1.3412
2026-07-30,05pipeline,688523,航天环宇,1,0.5831
2026-07-30,05pipeline,688192,迪哲医药,2,0.5094
2026-08-03,0935final,600536,中国软件,1,3.339
2026-08-03,0935final,603983,丸美生物,2,2.8399
2026-08-03,05pipeline,600536,中国软件,1,3.4226
2026-08-03,05pipeline,000155,川能动力,2,2.7969
2026-08-05,0935final,603893,瑞芯微,1,2.7727
2026-08-05,0935final,600671,天目药业,2,2.0701
2026-08-05,05pipeline,002396,星网锐捷,1,2.2025
2026-08-05,05pipeline,603893,瑞芯微,2,2.7407
2026-08-06,0935final,300139,晓程科技,1,5.0294
2026-08-06,0935final,002827,高争民爆,2,2.3926
2026-08-06,05pipeline,002396,星网锐捷,1,2.2025
2026-08-06,05pipeline,603893,瑞芯微,2,2.7407
2026-08-07,0935final,601678,滨化股份,1,0.9886
2026-08-07,0935final,301234,五洲医疗,2,0.5014
2026-08-07,05pipeline,301165,锐捷网络,1,2.95
2026-08-07,05pipeline,603459,红板科技,2,2.0631
2026-08-10,0935final,688222,成都先导,1,3.1415
2026-08-10,0935final,605179,一鸣食品,2,0.3966
2026-08-10,05pipeline,688222,成都先导,1,3.1415
2026-08-10,05pipeline,688235,百济神州,2,2.5218
2026-08-11,0935final,603162,海通发展,1,1.1516
2026-08-11,0935final,603137,恒尚节能,2,0.2478
2026-08-11,05pipeline,603259,药明康德,1,2.763
2026-08-11,05pipeline,688166,博瑞医药,2,0.608
2026-08-12,0935final,002437,誉衡药业,1,2.9943
2026-08-12,05pipeline,002437,誉衡药业,1,2.9943
2026-08-12,05pipeline,000661,长春高新,2,2.9028
2026-08-13,0935final,002580,圣阳股份,1,3.0234
2026-08-13,0935final,002687,乔治白,2,1.2569
